id,Title,Artist,Album,Duration,Media Type
67,Far More Blue,Dave Brubeck Quartet,Time Further Out,00:04:39,track
68,Hurt,Johnny Cash,American Recordings IV,00:03:38,track
69,Sorrow,The National,youtube.com/watch?v=RLhUZxQHUIE,00:03:22,track
70,Cha Cha Twist,Ty Taylor,VINYL: Music from the HBO Original Series - Volume 1,00:02:38,track
71,Hemingway's Whiskey,Guy Clark,watch?v=RVdaEZ2NF1w,00:02:50,track
72,Alabama Song,Marianne Faithfull,20th Century Blues,00:04:18,track
73,Canadian Whiskey,Tom Russell,watch?v=6YXh2gpH6qk,00:03:00,track
74,Johnny B. Goode,Chuck Berry,The Very Best Of Rock'N'Roll C,00:02:42,track
75,Sweet Little Sixteen,Chuck Berry,Unknown,00:03:01,track
76,Thirty Days,Chuck Berry,Blues Berry (The Blues Collection Vol.3),00:02:24,track
77,Too Much Monkey Business,Chuck Berry,Unknown,00:02:56,track
78,Back Door Man,Howlin' Wolf,London Sessions (The Blues Collection Vol.7),00:02:49,track
79,Little Red Rooster,Howlin' Wolf,London Sessions (The Blues Collection Vol.7),00:03:51,track
80,Smokestack Lightnin',Howlin' Wolf,Blues From Hell (Disc 1),00:03:06,track
81,What A Woman!,Howlin' Wolf,London Sessions (The Blues Collection Vol.7),00:02:53,track
82,Phonograph Blues,Robert Johnson,Red Hot Blues (The Blues Collection Vol.6),00:02:40,track
83,Stop Breakin' Down Blues,Robert Johnson,Red Hot Blues (The Blues Collection Vol.6),00:02:17,track
84,Sweet Home Chicago,Robert Johnson,Red Hot Blues (The Blues Collection Vol.6),00:03:02,track
85,Walkin' Blues,Robert Johnson,Red Hot Blues (The Blues Collection Vol.6),00:02:30,track
86,When You Got A Good Friend,Robert Johnson,Red Hot Blues (The Blues Collection Vol.6),00:02:38,track
87,Drive In Saturday,David Bowie,A Crash Course For The Ravers,00:04:38,track
88,The Whole Shebang,Grant Lee Buffalo,Velvet Goldmine,00:04:11,track
89,Hot One,Shudder To Think,Velvet Goldmine,00:03:05,track
90,China Girl,Iggy Pop Feat. David Bowie,Glam Rock Anthology,00:05:06,track
91,Vicious,Lou Reed,Transformer,00:02:58,track
92,The Man Who Sold the World,Lulu,Oh Yes We Can Love: The History of Glam Rock,00:03:52,track
93,Billy Porter,Mike Ronson,Glam Rock Anthology,00:03:36,track
94,Roll Away The Stone,Mott The Hoople,It's Glam Rock,00:03:06,track
95,Saturday Gig,Mott The Hoople,Glam Stars Vol 2,00:04:19,track
96,In The Summertime,Mungo Jerry,The Glam Rock Years,00:03:40,track
97,Personality Crisis,The New York Dolls,Glam Rock Anthology,00:03:51,track
98,Ballad Of Maxwell Demon,Shudder To Think,Velvet Goldmine,00:04:47,track
99,Psychomodo,Steve Harley,The Psychomodo,00:04:05,track
100,Make Me Smile (Come Up And See Me),Steve Harley & Cockney Rebel,It's Glam Rock,00:03:57,track
101,Here Comes the Sun,Steve Harley and Cockney Rebel,Glam Stars Vol 2,00:03:00,track
102,Get It On,T. Rex,Glam Stars Vol 2,00:04:27,track
103,Hot Love,T. Rex,Glam Stars Vol 2,00:04:59,track
104,Metal Guru,T. Rex,Oh Yes We Can Love: The History of Glam Rock,00:02:28,track
105,Children Of The Revolution,T. Rex,Glam Rock Anthology,00:02:30,track
106,Baby Strange,T. Rex,Glam Rock Anthology,00:03:05,track
107,Lola,The Kinks,Oh Yes We Can Love: The History of Glam Rock,00:04:10,track
108,Baby's On Fire,The Venus In Furs,Velvet Goldmine,00:03:19,track
109,Bitter-Sweet,The Venus In Furs,Velvet Goldmine,00:04:54,track
110,Music Non Stop,Coma.fm,Unknown,00:00:22,track
111,Juke box,Coma.fm,Unknown,00:00:17,track
112,For Your Love,Eric Clapton & The Yardbirds,Greatest Hits (The Blues Collection Vol.14),00:02:30,track
113,Jenny Jenny,Little Richard,Rock'N'Roll  - CD 02,00:02:05,track
114,Lucille,Little Richard,The Very Best Of Rock'N'Roll C,00:02:15,track
115,Send Me Some Lovin',Little Richard,Long Tall Sally (The Blues Collection Vol.12),00:02:15,track
116,Ashes,Screamin' Jay Hawkins,Blues Shouter (The Blues Collection Vol.62),00:02:49,track
117,Guess Who,Screamin' Jay Hawkins,Blues Shouter (The Blues Collection Vol.62),00:04:22,track
118,I Put A Spell On You,Screamin' Jay Hawkins,Unknown,00:02:26,track
119,It's Only Make Believe,Screamin' Jay Hawkins,Blues Shouter (The Blues Collection Vol.62),00:03:19,track
120,Please Don't Leave Me,Screamin' Jay Hawkins,Blues Shouter (The Blues Collection Vol.62),00:03:49,track
121,We Love,Screamin' Jay Hawkins,Blues Shouter (The Blues Collection Vol.62),00:02:51,track
122,Same Damn Thing,Screamin' Jay Hawkins,Blues Shouter (The Blues Collection Vol.62),00:05:50,track
123,What Good Is It - Part 2,Screamin' Jay Hawkins,Blues Shouter (The Blues Collection Vol.62),00:04:32,track
124,What Good is It - Part 1,Screamin' Jay Hawkins,Blues Shouter (The Blues Collection Vol.62),00:02:08,track
125,Hoochie Coochie Man,Willie Dixon,Little Red Rooster (The Blues Collection Vol.60),00:02:46,track
126,Little Red Rooster,Willie Dixon,Little Red Rooster (The Blues Collection Vol.60),00:02:25,track
127,Mellow Down Easy,Willie Dixon,Little Red Rooster (The Blues Collection Vol.60),00:02:41,track
128,My First Wife Left Me,John Lee Hooker,The Blues At Christmas 1 (The Blues Collection),00:03:34,track
129,Stormy Monday Blue,T-Bone Walker,The Blues At Christmas 1 (The Blues Collection),00:02:50,track
130,Summertime,Charles Mingus,100 Best Of Blue Note,00:04:37,track
131,Groovin High (Live - Storyville),Charlie Parker,50 Best Of Blue Note,00:05:04,track
132,Ornithology,Charlie Parker,The Best of Blue Note: A Selection from 25 Best Albums,00:04:25,track
133,I Get Along Without You Very Well (Except Sometimes) ,Chet Baker,50 Best Of Blue Note,00:02:57,track
134,Holy Thursday,David Axelrod,100 Best Of Blue Note,00:05:27,track
135,You Won't Be Satisfied,Ella Fitzgerald,Presenting ... The Best Of The Blues Cd 2,00:03:14,track
136,Mother-In-Law,Ernie K-Doe,60 Rock N Roll Jukebox-CD 2,00:02:34,track
137,Hum Drum Blues,Holly Cole  Javon Jackson,100 Best Of Blue Note,00:05:35,track
138,Spoonful,Howlin' Wolf,Blues From Hell (Disc 1),00:02:45,track
139,The Red Rooster,Howlin' Wolf,Unknown,00:03:56,track
140,Stormy Monday,Joe Carter,The Best Of Blues - CD2,00:05:59,track
141,Don`t Look Back,John Lee Hooker,Blues Planet. The Best Of Blues Music,00:04:10,track
142,Boom Boom,John Lee Hooker,Plays And Sings The Blues,00:02:36,track
143,Stormy Monday Blues,Junior Wells,Blow'n The Blues: Best Of The Great Harp Players,00:04:23,track
144,Midnight Blue,Kenny Burrell,The Best of Blue Note: A Selection from 25 Best Albums,00:03:59,track
145,Azalea,Louis Armstrong And The Duke Ellington Orchestra,100 Best Of Blue Note,00:05:01,track
146,It Dont Mean A Thing (If It Aint Got That Swing),Louis Armstrong And The Duke Ellington Orchestra,50 Best Of Blue Note,00:03:56,track
147,Why,Clare Teal,youtube.com/watch?v=X-aOJppftu0,00:05:15,track
148,With or without you,Ladiva and Sylvain Daelemans,youtube.com/watch?v=gMkiJdx16EA,00:03:37,track
149,Piece Of My Heart,Rachael Wood,youtube.com/watch?v=iE-I4cXrO3w,00:03:59,track
150,Why,Sara Bradaschia and Emanuele Grafitti,youtube.com/watch?v=Nj3_Ln69i2M,00:04:52,track
151,Why,Valentina Favara,youtube.com/watch?v=k2bpDT1e02g,00:04:47,track
152,Streets of London,Glen Campbell,youtube.com/watch?v=UZxP-bFifrI,00:02:36,track
153,Streets Of London,Mary Hopkin,youtube.com/watch?v=lQteP6oEHz8,00:04:26,track
154,Streets Of London,Ralph McTell,youtube.com/watch?v=M2r97Fo_HWE,00:03:59,track
155,Streets of London,Sinéad O'Connor,youtube.com/watch?v=NdKY8IzhEZI,00:04:07,track
156,Streets Of London,The Johnstons,No,00:03:07,track
157,Boppin The Blues,Carl Perkins,The Best Of,00:02:45,track
158,Folsom Prison Blues,Carl Perkins,The Best Of,00:02:31,track
159,Mean Woman Blues,Carl Perkins,The Best Of,00:02:09,track
160,That's Allright,Carl Perkins,The Best Of,00:03:35,track
161,The New Politician,Crazy Cavan And The Rhythm Rockers,The Best Of British Rockabilly,00:01:45,track
162,Somethin' Else,Eddie Cochran,Rockabilly Rules Disc 1,00:02:06,track
163,Jailhouse Rock,Elvis Presley,Billboard Top Rock'n'Roll Hits 1957,00:02:27,track
164,Little Girl,John & Jackie,Rockin' Bones: 1950s Punk and Rockabilly Disc 1,00:02:13,track
165,Folsom Prison Blues,Johnny Cash,Rockabilly Rules Disc 2,00:02:49,track
166,Get Rhythm,Johnny Cash & the Tennessee Two,Rockin' Bones: 1950s Punk and Rockabilly Disc 3,00:02:15,track
167,Raw-Hide,Link Wray,Rockabilly Rules Disc 2,00:02:08,track
168,I'm a Woman,Peggy Lee,There's a Riot Goin' On! The Rock 'N' Roll Classics of Lieber and Stoller,00:02:09,track
169,It's Saturday Night,The Riot Rockers,Best of Britsh Rockabillies V2,00:02:32,track
170,Louise,Bonnie Raitt,The Bonnie Raitt Collection,00:02:43,track
171,Love Has No Pride,Bonnie Raitt,The Bonnie Raitt Collection,00:03:46,track
172,Lover's Will,Bonnie Raitt,The Best of Bonnie Raitt on Capitol 1989-2003,00:04:29,track
173,Runaway,Bonnie Raitt,The Bonnie Raitt Collection,00:03:55,track
174,Empire,David Byrne,Grown Backwards,00:04:13,track
175,Heaven,David Byrne,"Ride, Rise, Roar",00:03:19,track
176,Once in a Lifetime,David Byrne,"Ride, Rise, Roar",00:05:22,track
177,Road to Nowhere,David Byrne,"Ride, Rise, Roar",00:04:04,track
178,Bell Bottom Blues,Derek & The Dominos,Layla And Other Assorted Love Songs (40th Anniversary Deluxe Edition) CD1,00:05:04,track
179,I Looked Away,Derek & The Dominos,Layla And Other Assorted Love Songs (40th Anniversary Deluxe Edition) CD1,00:03:04,track
180,Layla,Derek & The Dominos,Layla And Other Assorted Love Songs (40th Anniversary Deluxe Edition) CD1,00:07:06,track
181,Little Wing,Derek & The Dominos,Layla And Other Assorted Love Songs (40th Anniversary Deluxe Edition) CD1,00:05:34,track
182,Nobody Knows You When You're Down And Out,Derek & The Dominos,Layla And Other Assorted Love Songs (40th Anniversary Deluxe Edition) CD1,00:04:59,track
183,Hava Nagila,Dick Dale,King Of The Surf Guitar,00:02:07,track
184,Night Ride,Dick Dale,King Of The Surf Guitar,00:01:48,track
185,Riders In The Sky,Dick Dale,King Of The Surf Guitar,00:02:14,track
186,Shake 'n' Stomp,Dick Dale,King Of The Surf Guitar,00:02:11,track
187,Taco Wagon,Dick Dale,King Of The Surf Guitar,00:02:10,track
188,The Wedge,Dick Dale,King Of The Surf Guitar,00:02:01,track
189,Take It Off,Dick Dale,King Of The Surf Guitar,00:02:10,track
190,Tidal Wave,Dick Dale,King Of The Surf Guitar,00:02:04,track
191,Pipeline,Dick Dale/Stevie Ray Vaughan,100 Greatest Surf Rock Songs,00:02:59,track
192,Toes On The Nose,Eddie & The Showmen,100 Greatest Surf Rock Songs,00:02:43,track
193,Save Your Sundays For Surfin',Fantastic Baggys,100 Greatest Surf Rock Songs,00:02:13,track
194,California Dreamin',Gary Hoey,Monster Surf,00:02:58,track
195,Baja,Gary Hoey,Monster Surf,00:03:27,track
196,Gone Surfin',Gary Hoey,Monster Surf,00:03:15,track
197,Penetration,Gary Hoey,Monster Surf,00:02:47,track
198,Pipeline,Gary Hoey,Monster Surf,00:03:12,track
199,Surfin' USA,Gary Hoey,Monster Surf,00:02:48,track
200,Walk Don't Run,Gary Hoey,Monster Surf,00:03:10,track
201,Wipe Out,Gary Hoey,Monster Surf,00:03:33,track
202,Misirlou,Gary Hoey Feat. Dick Dale,Monster Surf,00:03:06,track
203,The Lonely Surfer,Jack Nitzsche,Unknown,00:02:34,track
204,Little Miss Red Riding Hood Surfer Queen Of Hollywood,Jim Pewter,100 Greatest Surf Rock Songs,00:02:47,track
205,Reverb 1000,Man Or Astro-Man?,Cowabunga! Set 4: New Waves,00:02:04,track
206,Earthquake!!,Marlow Stewart & The Illusions,Surf-Age Nuggets CD04,00:02:17,track
207,Surf Man,Richie Allen & The Pacific Surfers,100 Greatest Surf Rock Songs,00:02:19,track
208,Surfer's Slide,Richie Allen & The Pacific Surfers,100 Greatest Surf Rock Songs,00:01:54,track
209,Curl Rider,Surf Nation,100 Greatest Surf Rock Songs,00:03:09,track
210,Sex Wax,Surf Nation,100 Greatest Surf Rock Songs,00:04:42,track
211,Baja,The Astronauts,Unknown,00:02:29,track
212,Let's Go Trippin',The Astronauts,Surfin' With The Astronauts,00:02:03,track
213,Misirlou,The Astronauts,Surfin' With The Astronauts,00:02:05,track
214,Pipeline,The Astronauts,Surfin' With The Astronauts,00:02:06,track
215,Surfer's Stomp,The Astronauts,Surfin' With The Astronauts,00:02:39,track
216,Bombora,The Atlantics,Flight of the Surf Guitar 21st Anniversary Edition,00:03:07,track
217,Honky Tonk,The Beach Boys,Surfin' U.S.A.,00:02:04,track
218,Stoked,The Beach Boys,Surfin' U.S.A.,00:02:02,track
219,Runaway,The Bel-Airs,More Surf Legends (And Rumors),00:02:25,track
220,Surfer's Life,The Blue Stingrays,100 Greatest Surf Rock Songs,00:04:11,track
221,The Ninth Wave,The Bomboras,100 Greatest Surf Rock Songs,00:02:15,track
222,Pulsebeat,The Buddies,Surf-Age Nuggets CD04,00:02:11,track
223,Holiday Girl,The Centurions,Bullwinkle Pt. II,00:01:50,track
224,Banzai,The Chantays,Pipeline,00:02:04,track
225,Monsoon,The Chantays,Unknown,00:02:05,track
226,Pipeline,The Chantays,Unknown,00:02:20,track
227,Riders In The Sky,The Chantays,Pipeline,00:02:57,track
228,Runaway,The Chantays,Pipeline,00:02:55,track
229,Sleep Walk,The Chantays,Pipeline,00:02:36,track
230,Tragic Wind,The Chantays,Pipeline,00:02:12,track
231,Uprisin',The Cherokees,Surf-Age Nuggets CD03,00:02:23,track
232,Do It,The Countdowns,Surf-Age Nuggets CD03,00:01:59,track
233,High Wall,The Debonairs,Surf-Age Nuggets CD03,00:02:34,track
234,Surf Sacrifice,The Eliminators,Ultrasonic Surf Guitars,00:03:48,track
235,Tarantula,The Elite UFO,Surf-Age Nuggets CD04,00:03:18,track
236,Kopout,The Hustlers,More Surf Legends (And Rumors),00:02:09,track
237,Migrane,The Hustlers,More Surf Legends (And Rumors),00:02:32,track
238,Bustin' Surfboards,The Lively Ones,Surf Drums,00:03:15,track
239,Misirlou,The Lively Ones,Surf Rider!,00:02:31,track
240,Mr. Moto,The Lively Ones,Surf Drums,00:02:00,track
241,Paradise Cove,The Lively Ones,Surf Rider!,00:03:50,track
242,Rumble,The Lively Ones,Surf Drums,00:04:09,track
243,Surf Rider,The Lively Ones,Unknown,00:03:19,track
244,Wild Weekend,The Lively Ones,Surf Drums,00:02:11,track
245,The Marketts-Balboa Blue,The Marketts,100 Greatest Surf Rock Songs,00:02:33,track
246,Curl Rider Stomp,The Mel-Tones,100 Greatest Surf Rock Songs,00:02:04,track
247,Don't Leave Me,The Pastel Six,Surf Legends (And Rumors) - Rockin' Instrumentals 1961 - 1964,00:03:19,track
248,Surrfer Smootch,The Pastel Six,More Surf Legends (And Rumors),00:02:40,track
249,Caravan,The Rhythm Rockers,Soul Surfin',00:01:35,track
250,The Breeze And I,The Rhythm Rockers,Soul Surfin',00:03:49,track
251,Wipeout,The Rhythm Rockers,Soul Surfin',00:02:52,track
252,Big Wednesday,The Rip Chords,100 Greatest Surf Rock Songs,00:01:32,track
253,Night Scene,The Rumblers,Surf Legends (And Rumors) - Rockin' Instrumentals 1961 - 1964,00:02:14,track
254,Summertime Blues,The Rumblers,Surf Legends (And Rumors) - Rockin' Instrumentals 1961 - 1964,00:02:20,track
255,Theme from The Endless Summer,The Sandals,100 Greatest Surf Rock Songs,00:02:50,track
256,The Sentinal,The Sentinals,Surfer Girl,00:02:00,track
257,Twilighter,The Sentinals,Surfer Girl,00:02:18,track
258,Shanghai Surf,The Supertones,100 Greatest Surf Rock Songs,00:02:56,track
259,Bat Man,The Surfaris,Play,00:01:56,track
260,Apache,The Surfaris,"Fun City, U.S.A.",00:02:58,track
261,Misirlou,The Surfaris,Play,00:03:42,track
262,Surfaris Stomp,The Surfaris,Play,00:02:15,track
263,Surfing Drums,The Surfaris,Play,00:03:06,track
264,Wipe Out,The Surfaris,Unknown,00:02:17,track
265,Cecilia Ann,The Surftones,Surf Legends (And Rumors) - Rockin' Instrumentals 1961 - 1964,00:02:21,track
266,Spaghetti Strap,The Telstars,Surf-Age Nuggets CD04,00:02:01,track
267,Beyond The Surf,The Tornadoes,Bustin' Surfboards,00:02:20,track
268,Malagueña,The Tornadoes,Bustin' Surfboards,00:02:32,track
269,Moon Dawg,The Tornadoes,Bustin' Surfboards,00:02:19,track
270,Summertime,The Tornadoes,Bustin' Surfboards,00:03:02,track
271,Vaquero,The Tornadoes,Bustin' Surfboards,00:02:24,track
272,The Other Side,The Torquays,Surf-Age Nuggets CD04,00:01:59,track
273,Baja,The Turks,Surf-Age Nuggets CD04,00:02:17,track
274,Surf Blaster,The Vara-Tones,100 Greatest Surf Rock Songs,00:03:15,track
275,Perfidia,The Ventures,The Ventures Best Hit Collection 30,00:02:07,track
276,Santa Cruz,The Ventures,100 Greatest Surf Rock Songs,00:02:43,track
277,Surfin' And Spyin',The Ventures,100 Greatest Surf Rock Songs,00:02:22,track
278,Two On The Beach,The Ventures,100 Greatest Surf Rock Songs,00:02:56,track
279,Book Song,Fairport Convention,Meet on the Ledge - The Classic Years (1967-1975) (disc 1),00:03:15,track
280,Crazy Man Michael,Fairport Convention,Meet on the Ledge - The Classic Years (1967-1975) (disc 1),00:04:38,track
281,Genesis Hall,Fairport Convention,Meet on the Ledge - The Classic Years (1967-1975) (disc 1),00:03:39,track
282,I'll Keep It With Mine,Fairport Convention,Meet on the Ledge - The Classic Years (1967-1975) (disc 1),00:05:54,track
283,Now Be Thankful,Fairport Convention,Meet on the Ledge - The Classic Years 1967-1975 Disc 2,00:02:24,track
284,Rising for the Moon,Fairport Convention,Meet on the Ledge - The Classic Years 1967-1975 Disc 2,00:04:08,track
285,The Plainsman,Fairport Convention,Meet on the Ledge - The Classic Years 1967-1975 Disc 2,00:03:18,track
286,White Dress,Fairport Convention,Meet on the Ledge - The Classic Years 1967-1975 Disc 2,00:03:43,track
287,Born To Be Burned,Grace Slick & The Great Society,Unknown,00:03:13,track
288,Darkly Smiling,Grace Slick & The Great Society,Unknown,00:03:08,track
289,Somebody To Love,Grace Slick & The Great Society,Unknown,00:04:27,track
290,That`s How It Is,Grace Slick & The Great Society,Unknown,00:02:39,track
291,Do It The Hard Way,Grace Slick,Dreams,00:04:59,track
292,Face To The Wind,Grace Slick,Dreams,00:05:31,track
293,Full Moon Man,Grace Slick,Dreams,00:05:07,track
294,Garden Of Man,Grace Slick,Dreams,00:06:33,track
295,Let It Go,Grace Slick,Dreams,00:05:42,track
296,Better Lying Down,Grace Slick,Manhole,00:03:11,track
297,Call It Right Call It Wrong,Grace Slick,Software,00:03:56,track
298,Me And Me,Grace Slick,Software,00:03:56,track
299,Through The Window,Grace Slick,Software,00:03:37,track
300,They Call It Stormy Monday,John Mayall,"Looking Back [1990, 820 331-2]",00:04:38,track
301,Saturday Sun,Nick Drake,1969 - Five Leaves Left,00:04:05,track
302,Sunday,Nick Drake,1970 - Bryter Layter,00:03:43,track
303,Nothing Compares 2 U,Prince,Best Ballads,00:05:00,track
304,The Most Beautiful Girl in the World,Prince,Best Ballads,00:04:37,track
305,Rise,Public Image Limited,"The Greatest Hits, So Far",00:06:18,track
306,This Is Not A Love Song,Public Image Limited,This Is Not A Love Song,00:04:30,track
307,Chromatic Fantasy,Jaco Pastorius,"Punk Jazz, The Jaco Pastorius Anthology (Disc 2)",00:03:01,track
308,Good Morning Anya,Jaco Pastorius,"Punk Jazz, The Jaco Pastorius Anthology (Disc 2)",00:06:10,track
309,Sunday,Jaco Pastorius,Punk Jazz The Jaco Pastorius Anthology,00:04:19,track
310,Aftermath,R.E.M.,Around The Sun,00:03:54,track
311,At My Most Beautiful,R.E.M.,Up [2005 Warner Bros. Records EU Remaster],00:03:35,track
312,Bang and Blame,R.E.M.,Monster,00:05:30,track
313,Beat A Drum,R.E.M.,Reveal,00:04:20,track
314,Diminished,R.E.M.,Up [2005 Warner Bros. Records EU Remaster],00:06:00,track
315,Dream (All I Have To Do),R.E.M.,Lifes Rich Pageant (1993 IRS Years),00:02:38,track
316,Everybody Hurts,R.E.M.,Automatic For The People,00:04:59,track
317,I'll Take The Rain,R.E.M.,Reveal,00:05:51,track
318,Imitation Of Life,R.E.M.,Reveal,00:03:56,track
319,Last Date,R.E.M.,Document (1993 IRS Years),00:02:17,track
320,Losing My Religion,R.E.M.,Out Of Time,00:04:29,track
321,Make It All Okay,R.E.M.,Around The Sun,00:03:44,track
322,Man on the Moon,R.E.M.,Automatic for the People,00:05:14,track
323,Nightswimming,R.E.M.,Automatic for the People,00:04:18,track
324,Perfect Circle,R.E.M.,Murmur (2008 Deluxe Edition) CD1,00:03:31,track
325,Shiny Happy People,R.E.M.,Out Of Time,00:03:46,track
326,The One I Love,R.E.M.,Document (1993 IRS Years),00:03:17,track
327,We Walk,R.E.M.,Murmur (2008 Deluxe Edition) CD1,00:03:01,track
328,"What's the Frequency, Kenneth?",R.E.M.,Monster,00:04:00,track
329,Zither,R.E.M.,New Adventures in Hi-Fi (2005 Remaster),00:02:34,track
330,Black Friday,Steely Dan,Unknown,00:03:37,track
331,Charlie Don't Surf,The Clash,Sandinista!,00:04:54,track
332,Gates of the West,The Clash,Sound System extras,00:03:25,track
333,I Fought the Law,The Clash,Sound System extras,00:02:43,track
334,London Calling,The Clash,London Calling,00:03:20,track
335,Midnight to Stevens (Outtake),The Clash,Sound System extras 2,00:04:36,track
336,Rock the Casbah,The Clash,Combat Rock,00:03:42,track
337,Should I Stay or Should I Go,The Clash,Combat Rock,00:03:09,track
338,Train in Vain,The Clash,London Calling,00:03:14,track
339,Every Night's A Saturday Night With,The Drifters,Unknown,00:03:20,track
340,I Only Want to Be With You,The Tourists,Reality Effect,00:02:21,track
341,Something in the Air Tonight,The Tourists,Reality Effect,00:04:04,track
342,Brown Eyed Girl,Van Morrison,Still On Top: The Greatest Hits [Disc 1],00:03:05,track
343,Don't Look Back,Van Morrison,Unknown,00:03:20,track
344,Have I Told You Lately,Van Morrison,Unknown,00:04:19,track
345,It's All Over Now Baby Blue,Van Morrison,Unknown,00:03:51,track
346,One Irish Rover,Van Morrison,Unknown,00:03:28,track
347,When Will I Ever Learn to Live in God,Van Morrison,Unknown,00:05:39,track
348,Wild Night,Van Morrison,Unknown,00:03:32,track
349,And Then,Weather Report,Mr. Gone,00:03:20,track
350,Barbary Coast,Weather Report,Black Market,00:03:08,track
351,Consequently,Weather Report,This Is This,00:04:56,track
352,Current Affairs,Weather Report,Weather Report,00:05:55,track
353,Dara Factor One,Weather Report,Weather Report,00:05:26,track
354,Dara Factor Two,Weather Report,Weather Report,00:04:27,track
355,Directions,Weather Report,I Sing The Body Electric,00:04:36,track
356,Face On the Barroom Floor,Weather Report,Sportin' Life,00:03:59,track
357,Face The Fire,Weather Report,This Is This,00:02:34,track
